NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
KCNJ3	1	KCNJ3	
KCNJ4	1	KCNJ4	
KCNJ5	1	KCNJ5	
COL26A1	1	EMID2	
KCNJ6	1	KCNJ6	
GPKOW	1	GPKOW	
KCNJ8	1	KCNJ8	
GSTZ1	1	GSTZ1	
IL2RA	1	IL2RA	
IL2RB	1	IL2RB	
KCNK1	1	KCNK1	
KCNK2	1	KCNK2	
BCAR1	1	BCAR1	
KCNK3	1	KCNK3	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
SLC23A1	1	SLC23A1	
LGALSL	1	HSPC159	
CCP110	1	CP110	
PEX26	1	PEX26	
LGALS4	1	LGALS4	
C4A	1	C4A	
LGALS3	1	LGALS3	
LGALS2	1	LGALS2	
HMGN2P46	1	C15orf21	
LGALS1	1	LGALS1	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
ATXN7L2	1	ATXN7L2	
BSN	1	BSN	
LGALS8	1	LGALS8	
ATXN7L3	1	ATXN7L3	
LGALS7	1	LGALS7	
INHBA-AS1	1	LOC285954	
LIMCH1	1	LIMCH1	
GOLPH3L	1	GOLPH3L	
DRAIC	1	LOC145837	
BTC	1	BTC	
ZNF542P	1	ZNF542	
BTD	1	BTD	
CFDP1	1	CFDP1	
CRISPLD1	1	CRISPLD1	
SOAT1	1	SOAT1	
CRISPLD2	1	CRISPLD2	
SOAT2	1	SOAT2	
KCNQ1	1	KCNQ1	
NINJ2	1	NINJ2	
SUB1	1	SUB1	
KCNQ2	1	KCNQ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ3	1	KCNQ3	
KCNQ4	1	KCNQ4	
KCNQ5	1	KCNQ5	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
RRAD	1	RRAD	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
CFAP126	1	C1orf192	
ZBTB3	1	ZBTB3	
ZBTB2	1	ZBTB2	
NKAIN2	1	NKAIN2	
PKHD1	1	PKHD1	
NEU3	1	NEU3	
NKAIN1	1	NKAIN1	
MC2R	1	MC2R	
NEU4	1	NEU4	
NKAIN4	1	NKAIN4	
MRNIP	1	C5orf45	
NKAIN3	1	LOC643763	
RACGAP1	1	RACGAP1	
RRAS	1	RRAS	
NEU1	1	NEU1	
KCNN1	1	KCNN1	
KCNN2	1	KCNN2	
KCNN3	1	KCNN3	
KCNN4	1	KCNN4	
H3C4	1	HIST1H3D	
H3C6	1	HIST1H3E	
BBS2	1	BBS2	
NTNG1	1	NTNG1	
SLC10A4	1	SLC10A4	
BBS1	1	BBS1	
NTNG2	1	NTNG2	
SLC10A5	1	SLC10A5	
SLC10A6	1	SLC10A6	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
SLC10A3	1	SLC10A3	
SUCO	1	C1orf9	
CFAP119	1	C16orf93	
CPLANE1	1	C5orf42	
CPLANE2	1	C1orf89	
NET1	1	NET1	
ZBTB9	1	ZBTB9	
PEX5L	1	PEX5L	
MC1R	1	MC1R	
ZBTB6	1	ZBTB6	
FAM30A	1	KIAA0125	
SPDYA	1	SPDYA	
GRB2	1	GRB2	
GRAP	1	GRAP	
C8B	1	C8B	
TFB1M	1	TFB1M	
C8A	1	C8A	
C8G	1	C8G	
KCNT1	1	KCNT1	
KCNT2	1	KCNT2	
SUFU	1	SUFU	
BBS9	1	BBS9	
FCER1A	1	FCER1A	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
PCYT1B	1	PCYT1B	
ZHX2	1	ZHX2	
FCER1G	1	FCER1G	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144A	1	RNF144A	
RNF144B	1	RNF144B	
PITPNM1	1	PITPNM1	
CFAP184	1	CCDC96	
PITPNM3	1	PITPNM3	
PITPNM2	1	PITPNM2	
ERCC6L2-AS1	1	C9orf130	
TAX1BP1	1	TAX1BP1	
FAM193B	1	FAM193B	
FAM32A	1	FAM32A	
TAX1BP3	1	TAX1BP3	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
PEX16	1	PEX16	
PEX19	1	PEX19	
KLHL2	1	KLHL2	
KLHL3	1	KLHL3	
PEX10	1	PEX10	
KCNRG	1	KCNRG	
KLHL4	1	KLHL4	
CFAP157	1	C9orf117	
PEX12	1	PEX12	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KCNS1	1	KCNS1	
KLHL5	1	KLHL5	
KCNS2	1	KCNS2	
KLHL6	1	KLHL6	
KCNS3	1	KCNS3	
KLHL7	1	KLHL7	
KLHL8	1	KLHL8	
ANP32AP1	1	LOC723972	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
PLB1	1	PLB1	
IGF1R	1	IGF1R	
TXN2	1	TXN2	
PPIP5K1	1	PPIP5K1	
PLAU	1	PLAU	
PPIP5K2	1	PPIP5K2	
ENPP2	1	ENPP2	
ENPP1	1	ENPP1	
RXYLT1	1	TMEM5	
ENPP4	1	ENPP4	
ENPP3	1	ENPP3	
ENPP6	1	ENPP6	
ENPP5	1	ENPP5	
CARD10	1	CARD10	
ADAM11	1	ADAM11	
ADAM10	1	ADAM10	
DHDDS	1	DHDDS	
ADAM19	1	ADAM19	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	C9orf89	
ADAM12	1	ADAM12	
PLAA	1	PLAA	
CARD16	1	CARD16	
CARD14	1	CARD14	
CARD11	1	CARD11	
HTRA3	1	HTRA3	
HTRA4	1	HTRA4	
HTRA1	1	HTRA1	
PLD5	1	PLD5	
DAPP1	1	DAPP1	
HTRA2	1	HTRA2	
PLD4	1	PLD4	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
NME1-NME2	1	NME1-NME2	
GRK3	1	ADRBK2	
GRK2	1	ADRBK1	
GRK5	1	GRK5	
GRK4	1	GRK4	
GRK6	1	GRK6	
PIBF1	1	PIBF1	
CHCHD10	1	CHCHD10	
FAM199X	1	FAM199X	
IGF2R	1	IGF2R	
BSPRY	1	BSPRY	
SPINK13	1	SPINK13	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PLEK	1	PLEK	
GRM1	1	GRM1	
PITPNC1	1	PITPNC1	
GRM3	1	GRM3	
GRM2	1	GRM2	
GRM5	1	GRM5	
GRM4	1	GRM4	
CA3	1	CA3	
ZNF473CR	1	FLJ26850	
GRM7	1	GRM7	
ZIC2	1	ZIC2	
CA2	1	CA2	
GRM6	1	GRM6	
CA4	1	CA4	
GRM8	1	GRM8	
CA7	1	CA7	
CA9	1	CA9	
MYBL2	1	MYBL2	
CA8	1	CA8	
MYBL1	1	MYBL1	
SUN2	1	SUN2	
SUN1	1	SUN1	
ATP6AP1	1	ATP6AP1	
ATP6AP2	1	ATP6AP2	
CAD	1	CAD	
HUNK	1	HUNK	
SEPTIN7P2	1	SEPT7P2	
ELF1	1	ELF1	
ELF2	1	ELF2	
GFOD1	2	GFOD1:C6orf114	
ELF3	1	ELF3	
ELF4	1	ELF4	
ELF5	1	ELF5	
CAT	1	CAT	
GFOD2	1	GFOD2	
ZMYND10	1	ZMYND10	
ZMYND11	1	ZMYND11	
SHANK3	1	SHANK3	
ZMYND12	1	ZMYND12	
SHANK2	1	SHANK2	
PLEC	1	PLEC	
SHANK1	1	SHANK1	
RRN3	1	RRN3	
DAPL1	1	DAPL1	
CBL	1	CBL	
SV2C	1	SV2C	
SV2B	1	SV2B	
CBS	1	CBS	
SV2A	1	SV2A	
TBX21	1	TBX21	
CLVS1	1	CLVS1	
RRM1	1	RRM1	
RRM2	2	RRM2:C2orf48	
CCK	1	CCK	
HS3ST5	1	HS3ST5	
SUOX	1	SUOX	
TBX19	1	TBX19	
HS3ST1	1	HS3ST1	
TBX18	1	TBX18	
HS3ST2	1	HS3ST2	
CD2	1	CD2	
TBX15	1	TBX15	
CCS	1	CCS	
CD4	1	CD4	
NOPCHAP1	1	C12orf45	
CD6	1	CD6	
CD5	1	CD5	
CD7	1	CD7	
CD9	1	CD9	
CDA	1	CDA	
VPS29	1	VPS29	
CLEC10A	1	CLEC10A	
FRMPD1	1	FRMPD1	
RRP1	1	RRP1	
GRPR	1	GRPR	
ELK1	1	ELK1	
RRP8	1	RRP8	
ELK3	1	ELK3	
RRP9	1	RRP9	
ELK4	1	ELK4	
ALCAM	1	ALCAM	
SCN11A	1	SCN11A	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
SSTR5-AS1	1	LOC146336	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
NUP93	1	NUP93	
BCAN	1	BCAN	
BCAM	1	BCAM	
HECW2	1	HECW2	
HECW1	1	HECW1	
SRFBP1	1	SRFBP1	
TARS2	1	TARS2	
NUP98	1	NUP98	
TARS3	1	TARSL2	
TARS1	1	TARS	
VPS25	1	VPS25	
CFB	1	CFB	
VPS28	1	VPS28	
RNF216P1	1	RNF216L	
CFD	1	CFD	
CFH	1	CFH	
PLEKHA8P1	1	PLEKHA9	
CFI	1	CFI	
METTL25B	1	C1orf66	
CFP	1	CFP	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
RRS1	1	RRS1	
ST3GAL4	1	ST3GAL4	
VPS11	1	VPS11	
ST3GAL5	1	ST3GAL5	
NUP88	1	NUP88	
ST3GAL6	1	ST3GAL6	
HOXA11-AS	1	HOXA11AS	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
C3orf18	1	C3orf18	
LRRC37A3	1	LRRC37A3	
PLK4	1	PLK4	
ARL14EP	1	C11orf46	
LRRC37A2	1	LRRC37A2	
NFE2	1	NFE2	
PLK3	1	PLK3	
APOOL	1	APOOL	
GTF2IRD2	1	GTF2IRD2	
MCAM	1	MCAM	
PLK2	1	PLK2	
PLK1	1	PLK1	
KLF3-AS1	1	FLJ13197	
CGN	1	CGN	
ELL2	1	ELL2	
MCAT	1	MCAT	
ELL3	1	ELL3	
GTF2IRD1	1	GTF2IRD1	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
CHM	1	CHM	
STON2	1	STON2	
MCEE	1	MCEE	
ELOA	1	TCEB3	
ELOB	1	TCEB2	
RRP12	1	RRP12	
ELOC	1	TCEB1	
CIC	1	CIC	
RRP15	1	RRP15	
ZIK1	1	ZIK1	
EDARADD	1	EDARADD	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
EXOC7	1	EXOC7	
PLLP	1	PLLP	
C10orf88B	1	LOC399815	
ECRG4	1	C2orf40	
CIT	1	CIT	
PCOTH	1	PCOTH	
EXOC4	1	EXOC4	
PLIN4	1	PLIN4	
EXOC3	1	EXOC3	
PLIN3	1	PLIN3	
EXOC6	1	EXOC6	
PLIN2	1	PLIN2	
EXOC5	1	EXOC5	
PLIN1	1	PLIN1	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
EXOC1	1	EXOC1	
PLIN5	1	PLIN5	
NFIX	1	NFIX	
C1orf198	1	C1orf198	
PRUNE2	1	PRUNE2	
PRUNE1	1	PRUNE	
METTL21A	1	FAM119A	
APOL4	1	APOL4	
APOL6	1	APOL6	
RASSF10	1	RASSF10	
RRP36	1	C6orf153	
CKB	1	CKB	
APOL1	1	APOL1	
PAIP2	1	PAIP2	
APOL3	1	APOL3	
APOL2	1	APOL2	
PAIP1	1	PAIP1	
BCHE	1	BCHE	
HIPK4	1	HIPK4	
CKM	1	CKM	
MCF2	1	MCF2	
MOCOS	1	MOCOS	
RFLNB	1	FAM101B	
ELP1	1	IKBKAP	
ELP2	1	ELP2	
G0S2	1	G0S2	
ELP3	1	ELP3	
ELP4	1	ELP4	
RRP1B	1	RRP1B	
ELP5	1	C17orf81	
HIPK1	1	HIPK1	
ELP6	1	C3orf75	
HIPK3	1	HIPK3	
RFLNA	1	FAM101A	
HIPK2	1	HIPK2	
NFIA	1	NFIA	
NFIB	1	NFIB	
NFIC	1	NFIC	
PLP1	1	PLP1	
FOSB	1	FOSB	
PLP2	1	PLP2	
TMEM229A	1	TMEM229A	
MSX2P1	1	MSX2P1	
TMEM229B	1	TMEM229B	
C1orf174	1	C1orf174	
CLU	1	CLU	
LCLAT1	1	LCLAT1	
THG1L	1	THG1L	
MT1DP	1	MT1DP	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
PLS3	1	PLS3	
OIP5	1	OIP5	
IL13RA2	1	IL13RA2	
IL13RA1	1	IL13RA1	
PLS1	1	PLS1	
KCMF1	1	KCMF1	
COL27A1	1	COL27A1	
FKBPL	1	FKBPL	
DIO1	1	DIO1	
DIO2	1	DIO2	
DIO3	1	DIO3	
FAM91A1	1	FAM91A1	
LEMD3	1	LEMD3	
LEMD2	1	LEMD2	
LEMD1	1	LEMD1	
TOM1L1	1	TOM1L1	
TOM1L2	1	TOM1L2	
OBSCN	1	OBSCN	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP5	1	FKBP5	
FKBP2	1	FKBP2	
CNP	1	CNP	
CD300LB	1	CD300LB	
CD300LF	1	CD300LF	
CD300LG	1	CD300LG	
PLTP	1	PLTP	
MCL1	1	MCL1	
C1orf162	1	C1orf162	
TCEANC	1	TCEANC	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
CPE	1	CPE	
C1orf159	1	C1orf159	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
CPO	1	CPO	
MCM7	1	MCM7	
C1orf131	1	C1orf131	
COL14A1	1	COL14A1	
MCM8	1	MCM8	
CPQ	1	PGCP	
ZC3H4	1	ZC3H4	
MCM9	1	MCM9	
ZC3H3	1	ZC3H3	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
CPZ	1	CPZ	
KBTBD12	1	KBTBD12	
VPS72	1	VPS72	
CEP170B	1	KIAA0284	
EVI5L	1	EVI5L	
OIT3	1	OIT3	
C1orf127	1	C1orf127	
DPRXP4	1	DPRXP4	
CR2	1	CR2	
CR1	1	CR1	
GGPS1	1	GGPS1	
DIS3	1	DIS3	
SGIP1	1	SGIP1	
APOA1	1	APOA1	
DRC12	1	CCDC153	
SAPCD2	1	C9orf140	
SAPCD1	1	C6orf26	
MCM3	1	MCM3	
XCL2	1	XCL2	
MCM4	1	MCM4	
XCL1	1	XCL1	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
MCM2	1	MCM2	
CRP	1	CRP	
HDAC4	1	HDAC4	
CEBPA	1	CEBPA	
HDAC5	1	HDAC5	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
HDAC3	1	HDAC3	
CEBPD	1	CEBPD	
CEBPE	1	CEBPE	
HDAC1	1	HDAC1	
VPS4B	1	VPS4B	
CEBPG	1	CEBPG	
VPS4A	1	VPS4A	
TULP4	1	TULP4	
TULP3	1	TULP3	
C1RL-AS1	1	LOC283314	
TULP1	1	TULP1	
HDAC8	1	HDAC8	
HDAC9	1	HDAC9	
HDAC6	1	HDAC6	
HDAC7	1	HDAC7	
STOX2	1	STOX2	
NFS1	1	NFS1	
HECTD1	1	HECTD1	
VPS51	1	C11orf2	
HECTD2	1	HECTD2	
VPS50	1	CCDC132	
HECTD3	1	HECTD3	
HECTD4	1	C12orf51	
SVBP	1	CCDC23	
VPS53	1	VPS53	
VPS52	1	VPS52	
IL21R	1	IL21R	
XIRP1	1	XIRP1	
VPS54	1	VPS54	
CSK	1	CSK	
BCO2	1	BCO2	
BCO1	1	BCMO1	
STOX1	1	STOX1	
SLC35A2	1	SLC35A2	
MGME1	1	C20orf72	
SLC35A1	1	SLC35A1	
SLC35A4	1	SLC35A4	
C1orf122	1	C1orf122	
SLC35A3	1	SLC35A3	
APOBR	1	APOB48R	
CPPED1	1	CPPED1	
KBTBD11	1	KBTBD11	
ASXL1	1	ASXL1	
MAB21L3	1	C1orf161	
MAB21L4	1	C2orf54	
EVI2A	1	EVI2A	
APOC2	1	APOC2	
ASXL3	1	ASXL3	
CTH	1	CTH	
MAB21L1	1	MAB21L1	
APOC1	1	APOC1	
ASXL2	1	ASXL2	
MAB21L2	1	MAB21L2	
VPS41	1	VPS41	
MAP3K14-AS1	1	LOC100133991	
CEBPZ	1	CEBPZ	
BCOR	1	BCOR	
VPS45	1	VPS45	
EVI2B	1	EVI2B	
C1orf116	1	C1orf116	
C1orf115	1	C1orf115	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
SLC35B4	1	SLC35B4	
DCAF4L1	1	DCAF4L1	
MISP3	1	LOC113230	
IL23R	1	IL23R	
SLC35B1	1	SLC35B1	
C6orf89	1	C6orf89	
NFU1	1	NFU1	
NIPAL4	1	NIPAL4	
RPS6KA4	1	RPS6KA4	
RPS6KA3	1	RPS6KA3	
RPS6KA6	1	RPS6KA6	
RPS6KA5	1	RPS6KA5	
NIPAL1	1	NIPAL1	
NIPAL2	1	NIPAL2	
RPS6KA2	1	RPS6KA2	
NIPAL3	1	NIPAL3	
RPS6KA1	1	RPS6KA1	
ARFIP2	1	ARFIP2	
ARFIP1	1	ARFIP1	
SLC35A5	1	SLC35A5	
FAM41C	1	FAM41C	
H4C5	1	HIST1H4E	
TANGO6	1	TMCO7	
IL1R1	1	IL1R1	
TANGO2	1	C22orf25	
IL1R2	1	IL1R2	
SLC35C2	1	SLC35C2	
SLC35C1	1	SLC35C1	
CFAP263	1	CCDC113	
TWSG1	1	TWSG1	
IL23A	1	IL23A	
GSAP	1	PION	
OBSL1	1	OBSL1	
CFTR	1	CFTR	
SLC22A4	1	SLC22A4	
SLC22A3	1	SLC22A3	
SLC22A5	1	SLC22A5	
SLC35D1	1	SLC35D1	
SH2D2A	1	SH2D2A	
SLC22A2	1	SLC22A2	
SLC35D3	1	SLC35D3	
SLC22A1	1	SLC22A1	
SLC35D2	1	SLC35D2	
CRHR1	1	CRHR1	
CFAP251	1	WDR66	
GSE1	1	KIAA0182	
FAM43A	1	FAM43A	
FAM43B	1	FAM43B	
SPRR2A	1	SPRR2A	
ARGLU1	1	ARGLU1	
H4C8	1	HIST1H4H	
H4C9	1	HIST1H4I	
XCR1	1	XCR1	
SLC35E1	1	SLC35E1	
SLC35E4	1	SLC35E4	
SH2D1A	1	SH2D1A	
SLC35E3	1	SLC35E3	
SH2D1B	1	SH2D1B	
MPHOSPH10	1	MPHOSPH10	
SPRR1A	1	SPRR1A	
TECPR2	1	TECPR2	
SPRR1B	1	SPRR1B	
TECPR1	1	TECPR1	
SLC35F6	1	C2orf18	
SLC35F3	1	SLC35F3	
CAB39L	1	CAB39L	
SLC35F2	1	SLC35F2	
SLC35F5	1	SLC35F5	
MCUB	1	CCDC109B	
SLC35F4	1	SLC35F4	
RSF1	1	RSF1	
SLC35F1	1	SLC35F1	
C6orf47	1	C6orf47	
SIPA1L2	1	SIPA1L2	
SIPA1L3	1	SIPA1L3	
SIPA1L1	1	SIPA1L1	
